Item Name,Case Pack,Total Case,Length,Width,Height
MINI/MOE RUFFLE BOWL 1EA,24,7,20.87,10.24,13.78
MINI/MOE MUSHROOM CABIN 1EA,12,83,21.26,18.51,18.9
MINI/MOE GARDEN TEAPOT 1EA,12,89,16.15,15.36,17.13
MINI/MOE TREEHOUSE CABIN 1EA,18,56,16.54,16.54,21.26
MINI/MOE WOODLAND POTTY 1EA,36,16,20.87,19.69,20.67
MINI/MOE IVY BURROWING BOX 1EA,8,124,21.26,19.49,22.45
MINI/MOE CAMPING TENT HIDE 1EA,27,37,23.04,15.56,15.75
MINI/MOE BENDABLE BIRCHWOOD FENCE 1EA,24,38,17.72,12.21,11.82
MINI/MOE SILENT CRSTL RUN WHEEL XL 11.5 1EA,1,992,15.16,9.26,14.97
MINI/MOE COTTAGE VIEWING CAGE 1EA,1,557,27.56,18.9,22.05
MINI/MOE TV VIEWING CAGE 1EA,1,906,27.56,17.72,13
MINI/MOE TULIP WATER BOTTLE 1EA,60,16,23.43,18.31,23.82
MINI/MOE SILENT CRSTL RUN WHEEL LG 8.5 1EA,12,46,24.41,19.1,23.23
